0,0,0,0,0,0,0,0,5,0,9,0,0,3,0,0,0,1,0,0,0,0,0,0,32,0,1
0,0,0,0,0,0,0,0,4,0,8,0,0,1,0,0,0,0,0,0,0,0,0,1,32,0,1
0,0,0,0,0,0,0,0,4,0,8,0,0,1,0,0,0,0,0,0,0,0,0,1,32,0,1
0,0,0,0,0,0,0,0,4,0,7,0,0,3,0,0,0,1,0,0,0,0,0,0,32,0,1
0,0,0,0,0,0,0,0,3,0,6,0,0,1,0,0,0,0,0,0,0,0,0,1,32,0,1
0,0,0,0,0,0,0,0,3,0,6,0,0,1,0,0,0,0,0,0,0,0,0,1,32,0,1
0,0,0,0,0,0,0,0,3,0,5,0,0,3,0,0,0,1,0,0,0,0,0,0,32,0,1
0,0,0,0,0,0,0,0,2,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,32,0,1
0,0,0,0,0,0,0,0,2,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,32,0,1
0,0,0,0,0,0,0,0,2,0,3,0,0,3,0,0,0,1,0,0,0,0,0,0,32,0,1
0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,32,0,1
0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,32,0,1
0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,32,0,1
0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,32,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,32,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,64,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,64,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,64,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,32,0,0
0,0,0,0,1,4,1,0,16,1,45,0,0,3,0,0,0,0,0,0,0,0,0,0,32,0,1
0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,32,0,1
0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,32,0,1
0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,1
0,1,0,0,0,1,0,0,8,0,25,0,0,1,0,0,0,0,0,0,0,0,0,0,64,0,0
0,1,0,0,0,1,0,0,8,0,25,0,0,1,0,0,0,0,0,0,0,0,0,0,64,0,0
0,1,0,0,0,1,0,0,8,0,18,0,0,1,0,0,0,0,0,0,0,0,0,0,64,0,0
1,0,0,0,0,4,1,0,16,1,41,0,0,2,0,0,0,0,0,0,0,1,0,0,32,0,1
0,0,0,0,0,2,0,0,8,0,19,0,0,2,1,0,0,0,0,0,0,0,0,0,32,0,1
0,1,0,0,0,1,0,0,8,0,18,0,0,2,0,0,1,0,0,0,0,0,0,0,32,0,0
0,1,0,0,0,0,0,0,8,0,17,0,0,2,1,0,0,0,0,0,0,0,0,0,64,0,0
0,0,0,0,0,0,0,0,8,0,16,0,0,1,0,0,0,0,0,0,0,0,0,1,32,0,0
0,0,0,0,1,4,1,0,8,2,42,0,0,1,0,0,0,0,0,0,0,0,0,0,32,0,0
0,0,1,0,0,2,0,0,8,0,26,0,0,2,1,0,0,0,0,0,0,0,0,0,32,0,1
0,1,0,0,0,1,0,0,8,0,25,0,0,2,0,0,1,0,0,0,0,0,0,0,32,0,0
0,1,1,0,0,0,0,0,8,0,24,0,0,2,1,0,0,0,0,0,0,0,0,0,64,0,0
1,0,0,0,0,2,0,0,8,1,27,0,0,2,0,0,0,0,0,0,0,1,0,0,32,0,1
0,0,0,0,0,2,0,0,8,0,26,0,0,2,1,0,0,0,0,0,0,0,0,0,32,0,1
0,1,0,0,0,1,0,0,8,0,25,0,0,2,0,0,1,0,0,0,0,0,0,0,32,0,0
0,1,0,0,0,0,0,0,8,0,24,0,0,2,1,0,0,0,0,0,0,0,0,0,64,0,0
0,0,0,0,0,0,0,0,8,0,16,0,0,1,0,0,0,0,0,0,0,0,0,1,32,0,1
0,0,0,0,0,0,0,0,8,0,16,0,0,1,0,0,0,0,0,0,0,0,0,1,32,0,1
0,0,0,0,0,0,0,0,8,0,15,0,0,3,0,0,0,1,0,0,0,0,0,0,32,0,1
0,0,0,0,0,0,0,0,7,0,14,0,0,1,0,0,0,0,0,0,0,0,0,1,32,0,1
0,0,0,0,0,0,0,0,7,0,14,0,0,1,0,0,0,0,0,0,0,0,0,1,32,0,1
0,0,0,0,0,0,0,0,7,0,13,0,0,3,0,0,0,1,0,0,0,0,0,0,32,0,1
0,0,0,0,0,0,0,0,6,0,12,0,0,1,0,0,0,0,0,0,0,0,0,1,32,0,1
0,0,0,0,0,0,0,0,6,0,12,0,0,1,0,0,0,0,0,0,0,0,0,1,32,0,1
0,0,0,0,0,0,0,0,6,0,11,0,0,3,0,0,0,1,0,0,0,0,0,0,32,0,1
0,0,0,0,0,0,0,0,5,0,10,0,0,1,0,0,0,0,0,0,0,0,0,1,32,0,1
0,0,0,0,0,0,0,0,5,0,10,0,0,1,0,0,0,0,0,0,0,0,0,1,32,0,1
0,0,0,0,0,0,0,0,5,0,9,0,0,3,0,0,0,1,0,0,0,0,0,0,32,0,1
0,0,0,0,0,0,0,0,4,0,8,0,0,1,0,0,0,0,0,0,0,0,0,1,32,0,1
0,0,0,0,0,0,0,0,4,0,8,0,0,1,0,0,0,0,0,0,0,0,0,1,32,0,1
0,0,0,0,0,0,0,0,4,0,7,0,0,3,0,0,0,1,0,0,0,0,0,0,32,0,1
0,0,0,0,0,0,0,0,3,0,6,0,0,1,0,0,0,0,0,0,0,0,0,1,32,0,1
0,0,0,0,0,0,0,0,3,0,6,0,0,1,0,0,0,0,0,0,0,0,0,1,32,0,1
0,0,0,0,0,0,0,0,3,0,5,0,0,3,0,0,0,1,0,0,0,0,0,0,32,0,1
0,0,0,0,0,0,0,0,2,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,32,0,1
0,0,0,0,0,0,0,0,2,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,32,0,1
0,0,0,0,0,0,0,0,2,0,3,0,0,3,0,0,0,1,0,0,0,0,0,0,32,0,1
0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,32,0,1
0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,32,0,1
0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,32,0,1
0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,32,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,32,0,1
